state_alpha,county_fips,year,irrigated,non_irrigated,PRCP,EDD_TMAX,VPD,TMAX,COVERAGE_MIN,irrigated_a,non_irrigated_a,PRCP_a,EDD_TMAX_a,VPD_a,TMAX_a,irrigated_dt,non_irrigated_dt,PRCP_dt,EDD_TMAX_dt,VPD_dt,TMAX_dt,gap
KS,20013,2011,197.1,160.6,3.638208863010268,3.88704235144054,1.6908577549527657,29.96422343774708,1.0,-14.359999999999985,9.799999999999983,0.3652713492548263,1.0532269753137071,0.1605126373361132,1.2825279862896934,-8.537937638764785,14.406274974015233,0.4643390604597172,1.0380315070863226,0.1608436518333451,1.3776608462173585,36.5
KS,20013,2012,198.0,112.8,2.205088085350844,4.438011891593941,2.0519753268195324,31.609545453093403,1.0,-13.45999999999998,-38.000000000000014,-1.0678494284045974,1.6041965154671085,0.52163020920288,2.927850001636017,-9.877192393086087,-35.16536924675992,-1.0068846830477427,1.5948454580964107,0.5218339104319457,2.9863933000530403,85.2
KS,20013,2013,218.3,170.4,3.51840301000941,3.22899157256728,1.5673493304849944,28.69201418600053,1.0,6.840000000000032,19.599999999999994,0.2454654962539684,0.3951761964404472,0.03700421286834188,0.010318734543144359,8.183552852592614,20.662986532464927,0.2683272757627867,0.3916695499264358,0.037080600829241535,0.032272471449526045,47.900000000000006
KS,20013,2014,222.5,195.2,3.513422733815741,0.8308091611142069,1.1531051860608883,25.95786482790713,1.0,11.04000000000002,44.39999999999998,0.24048522006029938,-2.003006215012626,-0.3772399315557642,-2.7238306235502563,10.144298098271292,43.69134231168975,0.2252440337210814,-2.000668450669951,-0.37729085686303065,-2.7384664481545165,27.30000000000001
KS,20013,2018,221.4,115.0,3.489564876590945,1.7842219039181948,1.188437989765082,27.18482935253878,1.0,9.940000000000026,-35.80000000000001,0.21662736283550332,-1.049593472208638,-0.3419071278515704,-1.4968660989186056,0.0872790809860593,-43.59523457141087,0.04897431310414019,-1.0238780644392165,-0.34246730623150134,-1.6578601695654323,106.4
KS,20023,2010,210.0,86.7,2.38039297280815,2.112874594889419,1.4796364919583846,27.44796158978372,1.0,22.099999999999994,11.379999999999995,0.1922608993607824,-0.3964961698110776,-0.14037823800411187,-0.5794552871656613,29.265615213828287,17.049261506480583,0.3141903900745002,-0.41519828455247487,-0.1399708355459803,-0.4623686903316062,123.3
KS,20023,2011,175.1,72.7,2.211004507067096,3.0717605404762462,1.7308231300495067,28.47290053876913,1.0,-12.800000000000011,-2.6200000000000045,0.022872433619728127,0.5623897757757494,0.1108084000870102,0.4454836618197504,-7.873639540493028,1.277617285705424,0.1066989584854097,0.5495320718910387,0.11108848927697566,0.5259806971431638,102.39999999999999
KS,20023,2012,153.7,15.5,1.2694857873403564,3.7260612105838775,2.153994294738651,30.52565864673522,1.0,-34.20000000000002,-59.82000000000001,-0.9186462861070113,1.2166904458833807,0.5339795647761543,2.498241769785839,-31.512894294814345,-57.694026935069736,-0.872922727089366,1.2096771528553565,0.5341323406979536,2.5421492435986104,138.2
KS,20023,2016,204.8,111.0,2.635932962596883,1.9321178272269308,1.3499604205431264,27.00063404609719,1.0,16.900000000000006,35.67999999999999,0.4478008891495153,-0.577252937473566,-0.27005430941937014,-1.0267828308521914,10.630086687900441,30.71939618182963,0.34111258477501544,-0.5608885870748439,-0.27041078657023526,-1.1292336030819865,93.80000000000001
KS,20023,2017,195.9,90.7,2.443844137424354,1.7040396503260102,1.385659312522815,26.68992956336165,1.0,8.0,15.379999999999995,0.2557120639769863,-0.8053311143744866,-0.23435541743968158,-1.337487313587733,-0.5091680664208749,8.647751961054475,0.11092079375445016,-0.783122353119078,-0.23483920785871282,-1.4765276473281697,105.2
KS,20027,2008,178.0,124.0,3.259207826990292,1.217602101859102,1.043586170661036,26.17229259220682,1.0,-10.824999999999989,7.900000000000006,-0.10432680125308824,-0.6482176304565253,-0.1874238706718534,-1.3778867327705306,0.9310874601868875,17.201132159069587,0.09571376944910229,-0.6789007874541296,-0.1867554760139813,-1.1857915348396617,54.0
KS,20027,2010,178.9,123.4,3.567085311704249,2.1519048453664897,1.256235355061902,28.261601929830544,1.0,-9.924999999999983,7.300000000000011,0.2035506834608687,0.2860851130508626,0.0252253137290126,0.711422604853194,-2.6474220484557263,13.057843717519276,0.3273853224669866,0.26709077776663126,0.025639081850552473,0.8303386797627794,55.5
KS,20027,2017,202.8,116.7,3.050123383035037,1.7562106323529925,1.2827233121992505,27.62312383740241,1.0,13.975000000000023,0.6000000000000085,-0.3134112452083433,-0.10960909996263468,0.051713270866361016,0.07294451242506028,5.577794671295111,-6.0436658279068345,-0.45629736713847935,-0.08769255925006009,0.05123584611073809,-0.06426634323984604,86.10000000000001
KS,20027,2018,195.6,100.3,3.577721991243944,2.3375613496839245,1.3414953274093695,28.143698940469623,1.0,6.775000000000006,-15.799999999999997,0.21418736300056374,0.47174161736829734,0.11048528607648,0.5935196154922728,-3.8614600830262162,-24.215310048682,0.033198275222391355,0.4995025689375585,0.10988054805269096,0.41971919831672483,95.3
